Пара букв [ет] | Встречается -> 21 раз(а) | Частота -> 0.015
Пара букв [ьп] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [ьс] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [эт] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [юИ] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [юН] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [юУ] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [юг] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [юи] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яВ] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яМ] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яП] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яУ] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яж] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яи] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [як] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яо] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яр] | Встречается -> 1 раз(а) | Частота -> 0.001
Пара букв [яя] | Встречается -> 1 раз(а) | Частота -> 0.001
